subset,phase,anchor_image,anchor_rank,anchor_score,folder,window_size,manifest,image_dir
post_subset01_20frames_DJI_20250929124623_0166_D,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124623_0166_D.JPG,2,0.8421,205_Post_Def_rgb,20,outputs/metrics/measurement_ready_bolls/local_reconstruction_subsets/post_subset01_20frames_DJI_20250929124623_0166_D/image_manifest.csv,
post_subset01_60frames_DJI_20250929124623_0166_D,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124623_0166_D.JPG,2,0.8421,205_Post_Def_rgb,60,outputs/metrics/measurement_ready_bolls/local_reconstruction_subsets/post_subset01_60frames_DJI_20250929124623_0166_D/image_manifest.csv,
post_subset02_20frames_DJI_20250929124519_0134_D,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124519_0134_D.JPG,3,0.8373,205_Post_Def_rgb,20,outputs/metrics/measurement_ready_bolls/local_reconstruction_subsets/post_subset02_20frames_DJI_20250929124519_0134_D/image_manifest.csv,
post_subset02_60frames_DJI_20250929124519_0134_D,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124519_0134_D.JPG,3,0.8373,205_Post_Def_rgb,60,outputs/metrics/measurement_ready_bolls/local_reconstruction_subsets/post_subset02_60frames_DJI_20250929124519_0134_D/image_manifest.csv,
pre_subset01_20frames_DJI_20250929095941_0370_D,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095941_0370_D.JPG,1,0.8766,Part_one_pre_def_rgb,20,outputs/metrics/measurement_ready_bolls/local_reconstruction_subsets/pre_subset01_20frames_DJI_20250929095941_0370_D/image_manifest.csv,
pre_subset01_60frames_DJI_20250929095941_0370_D,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095941_0370_D.JPG,1,0.8766,Part_one_pre_def_rgb,60,outputs/metrics/measurement_ready_bolls/local_reconstruction_subsets/pre_subset01_60frames_DJI_20250929095941_0370_D/image_manifest.csv,
pre_subset02_20frames_DJI_20250929095903_0351_D,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095903_0351_D.JPG,4,0.8304,Part_one_pre_def_rgb,20,outputs/metrics/measurement_ready_bolls/local_reconstruction_subsets/pre_subset02_20frames_DJI_20250929095903_0351_D/image_manifest.csv,
pre_subset02_60frames_DJI_20250929095903_0351_D,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095903_0351_D.JPG,4,0.8304,Part_one_pre_def_rgb,60,outputs/metrics/measurement_ready_bolls/local_reconstruction_subsets/pre_subset02_60frames_DJI_20250929095903_0351_D/image_manifest.csv,
