phase,candidates,mean_readiness,median_readiness,mean_lint,mean_green,mean_visibility,mean_diameter_cm_proxy,mean_volume_cm3_proxy,high_score_ge_055,high_score_ge_075
post,8000,0.63571,0.6279,0.49091,0.05806,0.45915,21.13498,16105.32019,1.0,0.00738
pre,8000,0.58407,0.5732,0.52495,0.07538,0.50858,15.18641,10726.13225,0.79175,0.004
