index,phase,source,copied_path,is_anchor,anchor_candidate_rank,anchor_candidate_score
1,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095841_0340_D.JPG,,0,1,0.8766
2,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095843_0341_D.JPG,,0,1,0.8766
3,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095845_0342_D.JPG,,0,1,0.8766
4,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095847_0343_D.JPG,,0,1,0.8766
5,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095849_0344_D.JPG,,0,1,0.8766
6,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095851_0345_D.JPG,,0,1,0.8766
7,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095853_0346_D.JPG,,0,1,0.8766
8,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095855_0347_D.JPG,,0,1,0.8766
9,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095857_0348_D.JPG,,0,1,0.8766
10,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095859_0349_D.JPG,,0,1,0.8766
11,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095901_0350_D.JPG,,0,1,0.8766
12,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095903_0351_D.JPG,,0,1,0.8766
13,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095905_0352_D.JPG,,0,1,0.8766
14,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095907_0353_D.JPG,,0,1,0.8766
15,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095909_0354_D.JPG,,0,1,0.8766
16,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095911_0355_D.JPG,,0,1,0.8766
17,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095913_0356_D.JPG,,0,1,0.8766
18,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095915_0357_D.JPG,,0,1,0.8766
19,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095917_0358_D.JPG,,0,1,0.8766
20,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095919_0359_D.JPG,,0,1,0.8766
21,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095921_0360_D.JPG,,0,1,0.8766
22,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095923_0361_D.JPG,,0,1,0.8766
23,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095925_0362_D.JPG,,0,1,0.8766
24,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095927_0363_D.JPG,,0,1,0.8766
25,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095929_0364_D.JPG,,0,1,0.8766
26,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095931_0365_D.JPG,,0,1,0.8766
27,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095933_0366_D.JPG,,0,1,0.8766
28,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095935_0367_D.JPG,,0,1,0.8766
29,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095937_0368_D.JPG,,0,1,0.8766
30,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095939_0369_D.JPG,,0,1,0.8766
31,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095941_0370_D.JPG,,1,1,0.8766
32,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095943_0371_D.JPG,,0,1,0.8766
33,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095945_0372_D.JPG,,0,1,0.8766
34,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095947_0373_D.JPG,,0,1,0.8766
35,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095949_0374_D.JPG,,0,1,0.8766
36,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095951_0375_D.JPG,,0,1,0.8766
37,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095953_0376_D.JPG,,0,1,0.8766
38,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095955_0377_D.JPG,,0,1,0.8766
39,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095957_0378_D.JPG,,0,1,0.8766
40,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095959_0379_D.JPG,,0,1,0.8766
41,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100001_0380_D.JPG,,0,1,0.8766
42,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100003_0381_D.JPG,,0,1,0.8766
43,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100005_0382_D.JPG,,0,1,0.8766
44,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100007_0383_D.JPG,,0,1,0.8766
45,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100009_0384_D.JPG,,0,1,0.8766
46,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100011_0385_D.JPG,,0,1,0.8766
47,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100013_0386_D.JPG,,0,1,0.8766
48,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100015_0387_D.JPG,,0,1,0.8766
49,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100017_0388_D.JPG,,0,1,0.8766
50,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100019_0389_D.JPG,,0,1,0.8766
51,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100021_0390_D.JPG,,0,1,0.8766
