index,phase,source,copied_path,is_anchor,anchor_candidate_rank,anchor_candidate_score
1,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095843_0341_D.JPG,,0,4,0.8304
2,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095845_0342_D.JPG,,0,4,0.8304
3,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095847_0343_D.JPG,,0,4,0.8304
4,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095849_0344_D.JPG,,0,4,0.8304
5,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095851_0345_D.JPG,,0,4,0.8304
6,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095853_0346_D.JPG,,0,4,0.8304
7,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095855_0347_D.JPG,,0,4,0.8304
8,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095857_0348_D.JPG,,0,4,0.8304
9,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095859_0349_D.JPG,,0,4,0.8304
10,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095901_0350_D.JPG,,0,4,0.8304
11,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095903_0351_D.JPG,,1,4,0.8304
12,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095905_0352_D.JPG,,0,4,0.8304
13,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095907_0353_D.JPG,,0,4,0.8304
14,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095909_0354_D.JPG,,0,4,0.8304
15,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095911_0355_D.JPG,,0,4,0.8304
16,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095913_0356_D.JPG,,0,4,0.8304
17,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095915_0357_D.JPG,,0,4,0.8304
18,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095917_0358_D.JPG,,0,4,0.8304
19,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095919_0359_D.JPG,,0,4,0.8304
20,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095921_0360_D.JPG,,0,4,0.8304
