index,phase,source,copied_path,is_anchor,anchor_candidate_rank,anchor_candidate_score
1,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124603_0156_D.JPG,,0,2,0.8421
2,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124605_0157_D.JPG,,0,2,0.8421
3,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124607_0158_D.JPG,,0,2,0.8421
4,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124609_0159_D.JPG,,0,2,0.8421
5,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124611_0160_D.JPG,,0,2,0.8421
6,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124613_0161_D.JPG,,0,2,0.8421
7,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124615_0162_D.JPG,,0,2,0.8421
8,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124617_0163_D.JPG,,0,2,0.8421
9,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124619_0164_D.JPG,,0,2,0.8421
10,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124621_0165_D.JPG,,0,2,0.8421
11,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124623_0166_D.JPG,,1,2,0.8421
12,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124625_0167_D.JPG,,0,2,0.8421
13,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124627_0168_D.JPG,,0,2,0.8421
14,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124629_0169_D.JPG,,0,2,0.8421
15,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124631_0170_D.JPG,,0,2,0.8421
16,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124633_0171_D.JPG,,0,2,0.8421
17,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124635_0172_D.JPG,,0,2,0.8421
18,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124637_0173_D.JPG,,0,2,0.8421
19,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124639_0174_D.JPG,,0,2,0.8421
20,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124641_0175_D.JPG,,0,2,0.8421
