index,phase,source,copied_path,is_anchor,anchor_candidate_rank,anchor_candidate_score
1,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095803_0321_D.JPG,,0,4,0.8304
2,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095805_0322_D.JPG,,0,4,0.8304
3,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095807_0323_D.JPG,,0,4,0.8304
4,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095809_0324_D.JPG,,0,4,0.8304
5,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095811_0325_D.JPG,,0,4,0.8304
6,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095813_0326_D.JPG,,0,4,0.8304
7,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095815_0327_D.JPG,,0,4,0.8304
8,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095817_0328_D.JPG,,0,4,0.8304
9,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095819_0329_D.JPG,,0,4,0.8304
10,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095821_0330_D.JPG,,0,4,0.8304
11,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095823_0331_D.JPG,,0,4,0.8304
12,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095825_0332_D.JPG,,0,4,0.8304
13,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095827_0333_D.JPG,,0,4,0.8304
14,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095829_0334_D.JPG,,0,4,0.8304
15,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095831_0335_D.JPG,,0,4,0.8304
16,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095833_0336_D.JPG,,0,4,0.8304
17,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095835_0337_D.JPG,,0,4,0.8304
18,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095837_0338_D.JPG,,0,4,0.8304
19,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095839_0339_D.JPG,,0,4,0.8304
20,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095841_0340_D.JPG,,0,4,0.8304
21,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095843_0341_D.JPG,,0,4,0.8304
22,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095845_0342_D.JPG,,0,4,0.8304
23,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095847_0343_D.JPG,,0,4,0.8304
24,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095849_0344_D.JPG,,0,4,0.8304
25,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095851_0345_D.JPG,,0,4,0.8304
26,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095853_0346_D.JPG,,0,4,0.8304
27,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095855_0347_D.JPG,,0,4,0.8304
28,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095857_0348_D.JPG,,0,4,0.8304
29,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095859_0349_D.JPG,,0,4,0.8304
30,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095901_0350_D.JPG,,0,4,0.8304
31,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095903_0351_D.JPG,,1,4,0.8304
32,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095905_0352_D.JPG,,0,4,0.8304
33,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095907_0353_D.JPG,,0,4,0.8304
34,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095909_0354_D.JPG,,0,4,0.8304
35,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095911_0355_D.JPG,,0,4,0.8304
36,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095913_0356_D.JPG,,0,4,0.8304
37,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095915_0357_D.JPG,,0,4,0.8304
38,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095917_0358_D.JPG,,0,4,0.8304
39,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095919_0359_D.JPG,,0,4,0.8304
40,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095921_0360_D.JPG,,0,4,0.8304
41,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095923_0361_D.JPG,,0,4,0.8304
42,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095925_0362_D.JPG,,0,4,0.8304
43,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095927_0363_D.JPG,,0,4,0.8304
44,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095929_0364_D.JPG,,0,4,0.8304
45,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095931_0365_D.JPG,,0,4,0.8304
46,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095933_0366_D.JPG,,0,4,0.8304
47,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095935_0367_D.JPG,,0,4,0.8304
48,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095937_0368_D.JPG,,0,4,0.8304
49,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095939_0369_D.JPG,,0,4,0.8304
50,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095941_0370_D.JPG,,0,4,0.8304
51,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095943_0371_D.JPG,,0,4,0.8304
52,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095945_0372_D.JPG,,0,4,0.8304
53,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095947_0373_D.JPG,,0,4,0.8304
54,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095949_0374_D.JPG,,0,4,0.8304
55,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095951_0375_D.JPG,,0,4,0.8304
56,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095953_0376_D.JPG,,0,4,0.8304
57,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095955_0377_D.JPG,,0,4,0.8304
58,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095957_0378_D.JPG,,0,4,0.8304
59,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095959_0379_D.JPG,,0,4,0.8304
60,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100001_0380_D.JPG,,0,4,0.8304
